topic_id,topic_str,label,top_terms,rank,doc_id,chunk_id,nmf_score,trecho
3,nmf_03,corpo / banho / uso / hidratante,corpo; banho; uso; hidratante; passo; creme; pele; sabonete; gosto; oleo; cheiro; rosto; usa; usar; noite,2,doc_a1d2b9d6eaf7c8a9,doc_a1d2b9d6eaf7c8a9_pp_ch_0031,0.9859,"E ele deixa a pele como? Fredosa, hidratada. Ok. Karen, e você? Obrigada, Andressa. Agora conta pra gente a sua rotina. Gente, eu tomo banho uns dois ou três por dia, né? Tomo quando eu levanto. Hoje eu sei que eu vou tomar no meio do dia e antes de dormir. Toda vez que eu tomo banho, toda vez é o mesmo processo. Eu passo creme e óleo em tudo. Eu não tenho assim, não vou dormir, não vou passar, não. Todo banho eu uso de sabonete, sim, eu não tenho muita marca. Eu uso qualquer marca de sabonete. Eu acho que até peco em usar o sabonete no rosto, né? Sabonete do corpo no rosto. Eu sei que não é o"
3,nmf_03,corpo / banho / uso / hidratante,corpo; banho; uso; hidratante; passo; creme; pele; sabonete; gosto; oleo; cheiro; rosto; usa; usar; noite,3,doc_a0b281c2785ae1ed,doc_a0b281c2785ae1ed_pp_ch_0030,0.982,"Entendi, entendi. Meninas, agora eu queria saber que cada uma de vocês me falasse assim, qual que é a rotina aí de cuidar da pele e do corpo, tá? O que usa, quando usa, por que usa e como sente nesses momentos, tá? Vamos lá. Vou começar com a Elisa, vai Elisa. De manhã eu uso hidratante e também protetor solar de 70. Mas é depois do banho ou não? Depois do banho de manhã, tomei banho, aí uso sabonetinho com hidratante também, tá? E depois o hidratante no corpo, passo bastante calcanhar, canela, cotovelo, joelho, ombro, muita coisa, e colo, tá? Uso específico pro rosto. E logo depois aí uso o p"
4,nmf_04,revista / site / compra / comprar,revista; site; compra; comprar; compro; digital; espaco; interativa; consultora; revista interativa; manda; espaco digital; pelo; exemplo; aplicativo,1,doc_80a271097010f616,doc_80a271097010f616_pp_ch_0028,0.9877,"E aí, então, talvez por você já estar mais acostumada e por ter essa experiência, então, que você disse, né, de trazer mais proximidade à revista interativa, você acaba preferindo fazer a compra por lá mesmo. Tem alguma coisa, então, que você não conhecia? Não, né? A gente falou, você falou que já... Dessas coisas eu já tô habituada com todos. Alguma coisa que você melhoraria no processo, algo que poderia ser aprimorado de alguma forma através da compra pela revista? Acho que não. Estou satisfeita do jeito que está. Só minutinho para eu confirmar aqui ponto. E pensando na compra por site versu"
4,nmf_04,revista / site / compra / comprar,revista; site; compra; comprar; compro; digital; espaco; interativa; consultora; revista interativa; manda; espaco digital; pelo; exemplo; aplicativo,2,doc_76c629289d2e414c,doc_76c629289d2e414c_pp_ch_0024,0.9809,"É parecida, sim, mas é mais... É porque tá a casinha aqui em cima, deixa eu ver. É, assim, tá. E aí, nesse caso? Essa já é a do carrinho, assim, tá certo? Só que aí, claro, aparece tudo, né? Do lado aqui aparece para finalizar, se eu quisesse. Essa aqui, nesse caso, você não finaliza, você envia o pedido por WhatsApp para a consultora. Você põe no carrinho, mas você envia. Para a consultora via WhatsApp. Não, mas assim não aparece para mim. É, não, porque chama outra forma. Essa é uma outra forma mesmo, essa aqui é a Revista Interativa e você recebe o link direto da página, certo? Algum coment"
4,nmf_04,revista / site / compra / comprar,revista; site; compra; comprar; compro; digital; espaco; interativa; consultora; revista interativa; manda; espaco digital; pelo; exemplo; aplicativo,3,doc_fbdf5e17373e8de3,doc_fbdf5e17373e8de3_pp_ch_0030,0.9743,"Olha, depende, vamos dizer, às vezes eu quero produto que ela já tem. Então é como se fosse envio imediato, né? E aí demoraria dois dias, três, é rápido também. No meu endereço chega rápido. Mas assim, tem a historinha do correio em si, né? Então com ela é mais fácil. É, você tem a compra. Pela Revista Interativa e a gente tem a compra aqui por esse espaço digital. Minha primeira pergunta, você acha que está claro qual é a diferença entre uma e outra? Está, está claro. Porque o espaço digital... Fala. Não, pode falar. Não, pode falar. Não, eu estava dizendo, para mim está claro. Eu acho fácil,"
5,nmf_05,presente / dar / presentear / gosta,presente; dar; presentear; gosta; dar presente; aniversario; mae; comprar; presentes; natal; gosto; maes; legal; sempre; comprar presente,1,doc_1055808810073bc2,doc_1055808810073bc2_pp_ch_0007,0.942,"As próprias crianças te ajudam nessa ideia do presente, né? Eu vi que você envolve a família. É, quando se trata de professor, vai longe. É, é. Ai, que legal. Ai, é uma delícia. Uma com a outra também, né? Aí quando tá chegando aniversário de uma, as outras duas já ficam todas agitadas, já pensando no que vai fazer, no que vai dar. Aí é tudo desse jeito, porque elas também se presenteiam entre elas. De cada uma, assim, pra ela se apresentar entre elas também. Que legal. E como que é, assim, cada ocasião, e quando você costuma gastar num presente, ou como é que é com você cada ocasião, cada pes"
5,nmf_05,presente / dar / presentear / gosta,presente; dar; presentear; gosta; dar presente; aniversario; mae; comprar; presentes; natal; gosto; maes; legal; sempre; comprar presente,2,doc_1e5ee5a39b2288b7,doc_1e5ee5a39b2288b7_pp_ch_0003,0.9358,"Entendi. E além de aniversário que você falou, que ocasiões, de maneira geral, você costuma presentear? Em datas, né? Dia dos namorados, dia das mães, dia dos pais, Páscoa, com chocolate padrão, Natal, o que é essas? Entendi. E quando você presenteia alguém, o que você sente? Me sinto feliz, né? Que eu fico naquela expectativa que a pessoa vai gostar do que eu tô comprando, né? Isso. E é isso que você espera, né? Quando você dá presente, né? É, eu espero, assim, acertar, né? Que às vezes a gente não acerta, mas ultimamente eu tenho acertado. Que bom. E o que você leva em consideração na hora q"
5,nmf_05,presente / dar / presentear / gosta,presente; dar; presentear; gosta; dar presente; aniversario; mae; comprar; presentes; natal; gosto; maes; legal; sempre; comprar presente,3,doc_0a02c0b1be74620a,doc_0a02c0b1be74620a_pp_ch_0007,0.9125,"Legal. Você falou aqui de algumas ocasiões específicas, né? Você acha que você dá mais presente nessas datas que estão dadas, ou você percebe que tem outros momentos que você também consegue presentear meio sem motivo? Então, minhas irmãs, elas costumam me presentear também, né? A gente tem uma relação muito boa, graças a Deus, né? Entre irmãos. Então, as minhas irmãs, às vezes, elas vêem alguma coisa como pra mim, então, às vezes, eu também costumo. Uma vez, eu tava até passando no shopping, eu não lembro qual, passando ali, comprei creme pra minha irmã, que eu sabia que ela gostava. Então, s"
6,nmf_06,aproveite / sua camera / conversa / local,aproveite; sua camera; conversa; local; camera; conexao; bate papo; estiver; estamos; bate; papo; sua; diferentes; tenha; seu,1,doc_9ed820073ce06c76,doc_9ed820073ce06c76_pp_ch_0001,1.0,"Olá, tudo bem? Que bom ver você por aqui. Nós somos Akira, uma empresa dedicada a entender comportamentos, necessidades e desejos das pessoas. Assim, ajudamos diferentes marcas a melhorarem os produtos, serviços e experiências que oferecem aos seus consumidores. Por isso, você é a figura principal nesta pesquisa. Estamos animados pela nossa conversa e curiosos para saber o que você tem a nos contar sobre diferentes assuntos. Antes de começar, aproveite para pegar uma água e ir ao banheiro. Assim, você não precisa sair durante a conversa. Agora, para que você não tenha nenhuma preocupação duran"
6,nmf_06,aproveite / sua camera / conversa / local,aproveite; sua camera; conversa; local; camera; conexao; bate papo; estiver; estamos; bate; papo; sua; diferentes; tenha; seu,2,doc_a11e5233b2bda4e2,doc_a11e5233b2bda4e2_pp_ch_0001,1.0,"Olá, tudo bem? Que bom ver você por aqui. Nós somos Akira, uma empresa dedicada a entender comportamentos, necessidades e desejos das pessoas. Assim, ajudamos diferentes marcas a melhorarem os produtos, serviços e experiências que oferecem aos seus consumidores. Por isso, você é a figura principal nesta pesquisa. Estamos animados pela nossa conversa e curiosos para saber o que você tem a nos contar sobre diferentes assuntos. Antes de começar, aproveite para pegar uma água e ir ao banheiro. Assim, você não precisa sair durante a conversa. Agora, para que você não tenha nenhuma preocupação duran"
6,nmf_06,aproveite / sua camera / conversa / local,aproveite; sua camera; conversa; local; camera; conexao; bate papo; estiver; estamos; bate; papo; sua; diferentes; tenha; seu,3,doc_813751e4679e395b,doc_813751e4679e395b_pp_ch_0001,1.0,"Olá, tudo bem? Que bom ver você por aqui! Nós somos Akira, uma empresa dedicada a entender comportamentos, necessidades e desejos das pessoas. Assim, ajudamos diferentes marcas a melhorarem os produtos, serviços e experiências que oferecem aos seus consumidores. Por isso, você é a figura principal nesta pesquisa. Estamos animados pela nossa conversa e curiosos para saber o que você tem a nos contar sobre diferentes assuntos. Antes de começar, aproveite para pegar uma água e ir ao banheiro. Assim, você não precisa sair durante a conversa. Agora, para que você não tenha nenhuma preocupação duran"
7,nmf_07,refil / embalagem / parece / formato,refil; embalagem; parece; formato; plastico; diferente; ecos; legal; cor; design; material; visual; atual; acham; lembra,1,doc_2f47184626ff09c1,doc_2f47184626ff09c1_pp_ch_0005,1.0,"Tá bom? Vamos lá. Esse é o BTC, tá vendo? Aí aqui ó, eu vou só compondo aqui pra vocês verem. Eu tenho o protótipo, só que o protótipo, lembrando gente, é só esse aqui ó, tá? Do hidratante. Então a gente vai ter outros formatos também. E eu tenho aqui, esses dois aqui são os EFIs. Eu tenho o protótipo do refil, E é importante vocês saberem que o material que tá aqui do protótipo do refil vai ser... Você já tomara aquela garrafinha cristal? De água? Que o plástico deforma. Então assim, imaginem esse refil, esse protótipo de refil nesse material, tá? A tampinha aqui do refil, que na outra reuniã"
7,nmf_07,refil / embalagem / parece / formato,refil; embalagem; parece; formato; plastico; diferente; ecos; legal; cor; design; material; visual; atual; acham; lembra,2,doc_b6fd5d628bb2710e,doc_b6fd5d628bb2710e_pp_ch_0008,1.0,"Por isso que eu falei pra vocês, o mocap, que a gente fala de mocap e o protótipo, ele tá numa resina. Então, olha, pesadão. Então, você vai ter que fazer o exercício de pensar que ele vai estar nesse plástico. E esse aqui, o outro água, Vou deixar tudo aqui, depois a gente pega, mexe, só nesse primeiro momento. Esse aqui também é resina, mas ele vai ser tipo num plástico. Então vocês têm que imaginar isso. É exercício de imaginação aqui. Esse visual, a gente tem aqui os protótipos, nesse material o refil e nesse material a embalagem final, que não é o refil. Sim, mas nesse formato. Mas nesse "
7,nmf_07,refil / embalagem / parece / formato,refil; embalagem; parece; formato; plastico; diferente; ecos; legal; cor; design; material; visual; atual; acham; lembra,3,doc_74ca043fafaaea8d,doc_74ca043fafaaea8d_pp_ch_0022,0.9752,"A inspiração natureza. O que você viu ali que é isso que realmente vale? Os formatos mais orgânicos. Os formatos mais orgânicos, muito bom. E aí, até a última gota. Até a última gota, é. Pode utilizar até a última gota. Sem desperdício. Sem desperdício. Sem desperdício. Tem alguma coisa que está destoando? Você fala, nossa, não combina ou está ok? Não, está ok. Então, nada destoa aqui, né? Então, ótimo. Passa pra mim o texto, vamos continuar aqui nosso processo. O que eu vou mostrar pra vocês agora? Eu tenho nesse mesmo formato de embalagem, nesse mesmo design, algumas opções de acabamentos di"
8,nmf_08,transmite / atencao / parece / embalagem,transmite; atencao; parece; embalagem; imagem; tecnologia; chama atencao; chama; inovacao; produto; sofisticacao; avancada; tecnologia avancada; chamou; ideia,1,doc_6446f54127e74c2d,doc_6446f54127e74c2d_pp_ch_0054,0.9542,"Jaciara, e pra você, por que o R11 é o que mais chama atenção? Porque mostra os percentuais das pessoas que usaram e aprovaram. E são bastante altos, né? 90, 94, 97. E qual deles, né? Então, aquele era, queria saber qual chamava mais atenção. Qual chama menos atenção? Qual é a forma que não comunica para vocês os resultados, não chama a atenção de vocês? R6. Por quê, Marcia? Sem graça a foto. Não achei fruta nenhuma. Formação, só coloca a estrutura da pele, aí tem essas bolinhas. Não tem muita graça não. Eu olho pra essa foto e eu não consigo compreender ela. Eu também fico com essa foto. Eu n"
8,nmf_08,transmite / atencao / parece / embalagem,transmite; atencao; parece; embalagem; imagem; tecnologia; chama atencao; chama; inovacao; produto; sofisticacao; avancada; tecnologia avancada; chamou; ideia,2,doc_40a5bd913d6434d3,doc_40a5bd913d6434d3_pp_ch_0029,0.9527,"Qual delas, gente, transmite mais a ideia de sofisticação? Além da S14, mais alguma transmite sofisticação? Essa que tá aqui no cantinho, do lado da A, é que não tá mostrando o número dela. Está do lado de qual? Do S5? É, esse daí. Transmite sofisticação? Por que, Omar? Ela transmite sofisticação? A embalagem dela. Tem o que essa embalagem? Ela tem algo que chama a atenção, é uma coisa que parece ser positiva. A cor dela, o brilho, chama... Você olha assim, você se interessa. Mais alguma? Suzana, mais alguma? Colocaria também a S16, né? Também. Talvez pela forma como elas estejam apresentadas,"
8,nmf_08,transmite / atencao / parece / embalagem,transmite; atencao; parece; embalagem; imagem; tecnologia; chama atencao; chama; inovacao; produto; sofisticacao; avancada; tecnologia avancada; chamou; ideia,3,doc_90e2fc7494d27bd2,doc_90e2fc7494d27bd2_pp_ch_0046,0.9362,"Márcia, qual que transmite inovação pra você? A S16 pela coloração ou a S6 por ser gotinha, mas também conta gotas de vidro, não sei se... É ruim isso daí, eu já tive isso, horrível. Então a S16, vou ficar com a S16. S16. E por que ela está transmitindo inovação? O que tem aqui que transmite inovação? Acho que a composição tem imagem, é uma coisa mais lúdica, mais moderna. É, flora. Parece mais natural. O brilho está lindo. O brilho. Qual delas transmite a ideia de tecnologia avançada? Olha, tecnologia avançada deve ser esse S15, porque você não sabe o que é. É uma coisa que você não sabe iden"
9,nmf_09,negra / pele negra / pele / acha,negra; pele negra; pele; acha; linha; especifico; saber; hidratacao; marca; seria; quero saber; branca; negras; peles; produto,1,doc_bc29e08f3450ea98,doc_bc29e08f3450ea98_pp_ch_0062,0.999,"E se todo dia, só perguntando para a Diana também, se todo dia lançasse uma linha de cuidados para pele negra, o que você acharia? Ia ter uma para cada tipo de pele negra? Essa é a pergunta. Pele seca, pele mista, pele retinta, entendeu? Teria que ter uma linha então. Mais abrangente para despertar a curiosidade, como eu comentei com a Sheila, eu usaria para saber qual que é o... Como que eles chegaram nesse quê aí de falar que minha pele negra é igual a todas as outras peles negras, né? Eu já vi que não é legal falar que a pele negra não é uma só, tem várias diferenças e tal, e o que você ach"
9,nmf_09,negra / pele negra / pele / acha,negra; pele negra; pele; acha; linha; especifico; saber; hidratacao; marca; seria; quero saber; branca; negras; peles; produto,2,doc_c3440e03873d8788,doc_c3440e03873d8788_pp_ch_0053,0.9697,"Ou o Vazenosa é pra pele negra? Não, não é nível, mas eu acho que o... Com todo... Como é que eu posso dizer? Assim, ó, Natura, Boticário, todos esses... De marca, eles estão colocando, sim, ó, base pra pele negra, tipo Naomi Campbell, que é bastante negra mesmo, tem base pra pele dela. Hoje o protetor solar tem pra vários tipos de pele, tanto da mais branquinha, quanto da mais escura, que não fica, como a Ilana falou, com aquele aspecto de branco estado, entendeu? Então eu tô achando que tá entregando, mais do que antes, não está sem ação, porque é também tão avassaladora, mas só se você proc"
9,nmf_09,negra / pele negra / pele / acha,negra; pele negra; pele; acha; linha; especifico; saber; hidratacao; marca; seria; quero saber; branca; negras; peles; produto,3,doc_ecbea0911b71e6fa,doc_ecbea0911b71e6fa_pp_ch_0046,0.9597,"É igual, né, Ju? Eu acho muito bom ter produto especialmente para pele negra. Eu acho que a gente não fica na dúvida, porque tem aqueles lá, é para todo tipo de pele e às vezes não se dá com a nossa pele. Para mim não existe todo tipo de pele. A nossa pele é muito... Por exemplo, uma pessoa branca não fica com a pele russa. Sim, entendi. Uma pessoa branca, eu não vi a anela de pedreiro, só uma pessoa preta que fica. E o que você acha, Ju, de ter produtos específicos pra pele negra? Acho boa, acho que tá incluindo a gente no mercado, eu acho que é pessoal que precisa ser incluído no mercado, é "
10,nmf_10,loja / lojas / boticario / experiencia,loja; lojas; boticario; experiencia; shopping; perfumaria; natura; consumidor; ponto; loja natura; atendimento; atencao; varejo; dentro; vitrine,1,doc_57600d8711fbb9d4,doc_57600d8711fbb9d4_pp_ch_0011,0.8585,"Eu acho que é isso, ontem eu conversei com outra dupla também que parece que tem menos produto porque eles são meio chapados, assim, é tudo exposto de uma mesma forma. É tudo numerado. É, parece que tá tudo certinho, sabe? E tem espaçamento entre as coisas. O Boticário não, o Boticário junta. Junta do lado do outro, mas ele faz a vitrine, não a vitrine, né? Mas a gôndola parecer cheia. Por mais que ele não fique, esse aqui é só Elise. Não, é Elise, é Lily, é Florata, vai sequência, sabe? Não tem essa... Esse corredor de cada. Uma coisa que eu acho que vale apontar também aqui, que eu falei do "
10,nmf_10,loja / lojas / boticario / experiencia,loja; lojas; boticario; experiencia; shopping; perfumaria; natura; consumidor; ponto; loja natura; atendimento; atencao; varejo; dentro; vitrine,2,doc_3662c092fa45c669,doc_3662c092fa45c669_pp_ch_0010,0.8493,"E o Boticário, ele vai no comercial como se fosse qualquer outro shopping de São Paulo, assim, não tem muito... Que. É bem diferente até do Lab, né? Do Rodolfino, que tem uma outra apresentação visual, uma outra proposta, posicionando também bem... É forte com perfumaria, então, desde a entrada, já começa meio que a emergir no mundo dos perfumes, com as fragrâncias ali, os ativos que eles usam e o atendimento também ali mais de construção, como a Lu tava falando, do que o comercial da loja padrão do shopping, né? Então, também foi uma navegação bem diferente entre a loja de shopping e o Boticá"
10,nmf_10,loja / lojas / boticario / experiencia,loja; lojas; boticario; experiencia; shopping; perfumaria; natura; consumidor; ponto; loja natura; atendimento; atencao; varejo; dentro; vitrine,3,doc_33640fb8f77ec4a8,doc_33640fb8f77ec4a8_pp_ch_0017,0.8488,"O Dani, acho que a loja que você tá falando é o ATN, né? Que é uma loja de consultor que consegue montar uma loja. Aqui em São Paulo vê menos, mas, por exemplo, eu fui para a Bahia e lá era assim. É uma loja muito mais simples. É muito mais simples, mais convidativa. E eu vejo sempre, como ela está na frente da praça de alimentação, meu marido, ele é mega antenado também, ele trabalha com e-commerce, né? E aí ele reclama do e-commerce da Natura, né? E ele fala isso aqui, não conversa nada com o e-commerce de vocês. Isso eu acho que é ponto importante, assim, também. Porque, e ele falou, e eu v"
11,nmf_11,tecnologia / bio / bioeficiente / linha,tecnologia; bio; bioeficiente; linha; produtos; nome; produto; cabeca; palavra; homem; eficiente; bioinovacao; dermotech; natural; seria,1,doc_3a9c3f93806290fb,doc_3a9c3f93806290fb_pp_ch_0031,1.0,"Então tira o Bioexpert. Tá bom. Muito bom. Márcio? Pra mim também. O Beoplus e o Dermotech eu acredito que eles se sobressaem pouco em relação a esses outros nomes apresentados. Tá ótimo. E o David? Acho que eu vou ser pouco diferente, mas eu vou colocar o BIO+. Tipo, não sei se por causa do PLUS é algo pra gente aqui. Quando a gente fala essa palavra em inglês, parece que dá algo... Negócio melhor, sabe? Não sei se é coisa aqui do Brasil, mas o PLUS, o BIO+, acho que é algo que dá uma superioridade. E diferente, acho que vou participar do Dermotech, na minha cabeça veio muito Dermobalance. Nã"
11,nmf_11,tecnologia / bio / bioeficiente / linha,tecnologia; bio; bioeficiente; linha; produtos; nome; produto; cabeca; palavra; homem; eficiente; bioinovacao; dermotech; natural; seria,2,doc_66b40b2eb6436092,doc_66b40b2eb6436092_pp_ch_0010,0.9687,"Pode ir. Bio... Foi muito rápido? Não? Então tá bom. Bioeficiente. Terceiro nome da tecnologia. Bioeficiente. O que vem na cabeça, o que faz pensar sobre a linha de produtos da natural. Se ela vier com esse nome, bioeficiente, como tecnologia, Quarto. Como é que vocês leriam? Alguém vai ler de jeito diferente? Biomais, então. O que vem na cabeça? O que faz pensar sobre os produtos da linha da Natura? Vou para o quinto. Dermobalance. A tecnologia chamaria Dermobalance. O que vem na cabeça e o que faz pensar sobre os produtos. E a última. Bioinovação. Tecnologia, bioinovação, o que vem na cabeça"
