projeto,tipo,rank,sentimento_lexico,score_lexico,confianca_lexico,chunk_id,trecho
compras_digitais,mais_negativo,2,NEG,-3,0.6,doc_0e16de972b72d565_pp_ch_0027,"Como assim? Eu fiz uma compra de perfume, e daí era minha primeira compra no site. Perfume, tipo, de 300 reais, saiu por 120 reais. Muito barato. Aí eu coloquei todos os meus dados de pagamento. Aí depois de três dias, já tinha sido cobrado no meu cartão, eles falaram que suspenderam a compra porque o titular do cartão não era eu, só que eu era titular do cartão. E daí eu fiz uma reclamação no Pro"
compras_digitais,mais_negativo,3,NEG,-3,0.6,doc_9852515aa99fe494_pp_ch_0006,"Você falou que você já entrou algumas vezes, né? Além dessa vez aí da novela, lá do lançamento, quais os outros? Quando eu vejo as blogueiras falando de algum produto e falando que tem desconto. Na própria página dela tem link, clica aqui e te direciona já para o site da Natura. Mas o desconto é mínimo, é 5, 10, não é lá essas coisas não. Então uma vantagem que você vê no site é que tem tudo, mas "
gaia_ii,mais_positivo,1,POS,13,1.0,doc_40a5bd913d6434d3_pp_ch_0031,"E por que te foi transmitir a mensagem de vitalidade o S16, Suzana? Pelas cores... Ele me linca a água, sabe? A leveza. Então, passa isso. Algum deles vocês gostariam de ganhar de presente? Estou brincando. Eu gostaria de ganhar o S14. S14 e S6. S6, S6... Olha, eu acho que os. Três que eu trabalhei, o S14, o S6, o S... Todos eles me parecem maravilhosos. Tá bom. E algum vocês dariam de presente? D"
gaia_ii,mais_positivo,2,POS,11,1.0,doc_40a5bd913d6434d3_pp_ch_0043,"Eu fico com a M1. M1, por quê, Eda? Eu acho mais prática, parece que é o sérum ali, o seu de aplica, acho que é praticidade. E dois. O que tem em dois? Tu já compra o produto sabendo se ele é entidade, o que ele é. Então, a forma do passo ali, mostrando os movimentos, como tu vai conseguir atingir melhores resultados, eu acho que me atrai bastante. Qual o movimento que a gente deve fazer. Pra mim "
gaia_ii,mais_positivo,3,POS,11,1.0,doc_1cecf4bbb8f06cf1_pp_ch_0008,"Aí, completando aquela frase, as propagandas de cronos me transmitem o quê? Oi, Silvane. Para mim, eles me transmitem segurança. Eu fico segura de usar esse produto. Fala, Priscila. Olha, eu vejo uma embalagem muito sofisticada. Aproveitar essa embalagem sofisticada. Me conta onde que está a sofisticação na embalagem. Dourado, no conta-gotas, né? Me leva muito pra dentro de laboratório, me faz ver"
gaia_ii,mais_negativo,1,NEG,-3,0.6,doc_d42528cd9f4f9278_pp_ch_0056,"Pode ser shampoo, pode ser condicionador. É, creme, shampoo, condicionador, tonificante, qualquer coisa. Eu acho que esse tema não se encaixaria na linguagem que a gente fala de pele, né? É, hoje em dia o pessoal tá usando muito aquele skin care pra falar, né? É, ou rotina de hidratação inteligente. Rotina, isso. Então, a palavra, sistema não dá conta de falar do passo a passo. Não combina. Não co"
gaia_ii,mais_negativo,2,NEG,-3,0.273,doc_c1b714ce1513e838_pp_ch_0048,"Ótimo esse. O A4. Além de explicar, ele tá mostrando os produtos, então aí tá bem explicado, não tem como errar. Aí ele mostra em cada produto qual é o passo 1, 2. E tá a foto e tá tudo. O A7, Priscila? Pra mim tá... Tá simples, eu entendi a forma que tem que usar, a sequência que tem que usar os produtos. Tá bom. Qual que é aqui o passo a passo mais difícil de entender? A 7. Por que, Valéria? Por"
gaia_ii,mais_negativo,3,NEG,-3,0.429,doc_e6f876a11a7cffdd_pp_ch_0045,"Sabonete, 2. Loção, esfoliante, 3. Hidratante, 4. Base. 6. Sistema de Hidratação Inteligente. 9. Como fazer a rotina. Limpar, cuidar dos olhos, tratar, hidratar e proteger. 8. Hidratante e Antidade, Serum Antidade, Creme Antidade. E o 7, pele firme renovada, passo 1 limpar, passo 2 restaurar, passo 3 hidratar, passo 4 hidratar e suavizar. Então, vocês me digam qual é a forma de passo a passo que m"
havana_iii,mais_positivo,1,POS,11,1.0,doc_4fb6c79b4c64bba8_pp_ch_0002,"eu sou [NOME], tenho [IDADE] anos. Boa tarde. [ENDERECO], capital, zona leste, e eu sou [NOME]. Muito bom, obrigada, Thais. Fernanda? Olá, sou a [NOME], tenho [IDADE] anos e trabalho na área administrativa. Ok, obrigada, Fernanda. Giovana? Olá, boa tarde. Meu nome é Giovana, tenho [IDADE] anos, Sou recepcionista de academia. Eu moro na Zona Leste de São Paulo. Boa, obrigada, Giovana. E a Jadila, é"
havana_iii,mais_positivo,2,POS,10,1.0,doc_4fb6c79b4c64bba8_pp_ch_0004,"Só anota, ninguém fala nada por enquanto, e quem for terminando, levanta a mão assim para eu saber. Dois minutinhos, tá? Não é nem para escrever tanto, é só para pincelar. Quem terminou? Já levanta a mão só para eu saber. Thaís, Isabela... Já de Legior, não, mas dois minutinhos, pode ser? Vamos lá, quem quer começar falando? Vamos... Quem quer começar me contando o que mais gostou, o que colocou n"
havana_iii,mais_positivo,3,POS,8,1.0,doc_7244ee28c4ae4fdf_pp_ch_0019,"O que vocês acharam deste vapor de banho energizante? Eu achei interessante. Eu usaria no primeiro banho do dia pra dar uma energia, gás pra gente ir pra correria, com aquele cheirinho gostoso. Tá, quem mais? Eu achei a ideia muito legal, remete, parece como se você estivesse no espaço lá, alguma coisa assim. Se eu fosse usar, com certeza, se eu tivesse produto pra vender, eu vou usar sim. E dia, "
havana_iii,mais_negativo,1,NEG,-2,0.5,doc_7244ee28c4ae4fdf_pp_ch_0029,"Eu também não. Por que não, Gisele e Isabela? Eu não usaria porque eu ainda tenho muita dúvida sobre esse produto. Eu não consegui assimilar ele, assim, eu tô... Porque assim, quando você vai fazer uma maquiagem, você faz preparo da sua pele antes, né? Com protetor, sei lá, com creme, com sérum. Então assim, eu não tô conseguindo encaixar esse produto pra mim, né? Assim, eu maquiada, por que eu vo"
havana_iii,mais_negativo,2,NEG,-2,0.5,doc_7244ee28c4ae4fdf_pp_ch_0030,"E mesmo eu ter preparo antes da maquiagem, eu sinto que falta algo depois. Tá, se associou com proteção, com hidratação, né? Bianca, Bruna, usaria, não usaria? Quando? Não, eu acho que assim, eu acho que é produto que você... Eu usaria em determinados momentos, não usaria assim em todo momento, né? Que momento você usaria? Eu acho que assim, vamos supor, no final da tarde, às vezes você vai fazer "
havana_iii,mais_negativo,3,NEG,-2,0.5,doc_7244ee28c4ae4fdf_pp_ch_0040,"Tempo cumprido pra fazer isso, né? Mas foi isso que te pegou, Gisele? Pensando aqui na minha rotina, no meu dia a dia. E para você, Bruna, o que você pensou? Também não me chamou muita atenção o produto, pelo fato de você ter que fazer ritual para que ele possa dar energia, então tempo pouco mais corrido não seria eficiente para mim. Eu também é produto que não me chamou atenção por conta disso, p"
jack_pearson,mais_positivo,1,POS,21,1.0,doc_66b40b2eb6436092_pp_ch_0014,"Essa linha Natura Homem aí que a gente está vendo. E você, Flávio? A palavra bio, nome, me remete muito a algo sustentável, natural, mesmo orgânico. E o expert na palavra me traz muito a sensação de algo dinâmico, que eles têm uma expertise de fabricação, mas também se moldam à necessidade. Muito bom, muito bom, ótimo. Aí, o próximo, bioeficiente. Fala você, Flávio, aproveitar que você acabou de f"
jack_pearson,mais_positivo,2,POS,19,1.0,doc_3a9c3f93806290fb_pp_ch_0044,"Legal, foi revelado. Muito bom. Chay, continua aí, vamos falar do Bioficiente. Qual que lembra para você bioeficiente? Tá no mudo. Desculpa. Bioeficiente me lembra a questão, a figura três ali, né, questão de tempo, que vai trazer mais tempo para ti, ou seja, vai ser uma coisa mais duradoura. Legal, perfeito. Márcio? Eu marquei a oito, né? E por quê? O eficiência lembrar também essa questão de enf"
jack_pearson,mais_positivo,3,POS,19,1.0,doc_2e794b5b52308c61_pp_ch_0017,"Bioeficiente, eficiência, eficiência na pele, eficiência no que propõe. A embalagem vai ter indicações sobre o uso do produto, pra quê, pra onde, eficiência no que ele propõe. Se é pro rosto, se é pro corpo, se é pro cabelo ou se é pra barba, ele propõe eficiência, ele passa eficiência no que ele propõe. E pra você, Alexandro, esse bioeficiente passou o quê? Eu também pensei basicamente por essa m"
jack_pearson,mais_negativo,1,NEG,-2,0.333,doc_3a9c3f93806290fb_pp_ch_0015,"Mas você compra numa coisa que é específica para pessoas que têm problema de pele? Ou é uma coisa neutra que todo mundo pode usar? O que você entendeu quando fala dessa coisa de equilíbrio pra pele e não muito agressivo? É, não sei se, por exemplo, pra shampoo, dermobalance, eu sei que tem doenças capilares, mas... Parece não combinar? É, não sei. Posso estar falando basneiro aí, mas... Não, mas t"
jack_pearson,mais_negativo,2,NEG,-1,0.2,doc_7125fa2ef3d8b81c_pp_ch_0032,"Tipo rotineiro, né? Não é uma coisa que é específica se você tem algum problema de pele ou alergia, é isso que você está querendo dizer? Sim. Legal. E você? Desculpa, pode falar, Giovanna, é que o jeito que você levantou, pode falar assim. Não, eu acredito que essa palavra dermo vem na concepção de antialérgico, né? Eu acredito que vem a bagagem de bio, né? E aí eu acredito que seja produto antial"
jack_pearson,mais_negativo,3,NEG,-1,0.333,doc_7125fa2ef3d8b81c_pp_ch_0033,"Eu... Fala, Lucas. Tipo, não é que eu não gostei dele, ele pra mim não trouxe nenhuma repercussão, sabe? Porque, por exemplo, quando você fala derno Balance, já subentende-se que todos os produtos são balanceados, entendeu? Então ele é meio que muito genérico e pouco abrangente, sabe? Quer dizer, todo produto você acha que vai ser balanceado. É, tipo assim, o problema deveria ser. Dependendo de ca"
mercato_brasil,mais_positivo,1,POS,25,1.0,doc_9da29b5ddacac7d2_pp_ch_0006,"Ali eu continuo. Muito bom. Muito bom. Muito legal. Muito legal. Muito legal. Muito legal. Muito legal. Muito legal. Muito legal. Muito legal. Eu vejo a Muito legal. Muito legal. Vão assim, legal. Eu já vendi a Vão com Muito legal. Legal. A minha irmã, Muito legal. Legal. Muito legal. Muito legal. Ela é o cadastro Muito legal. Muito legal dela, mas depois passou pra mim, acho que uns oito anos, ma"
mercato_brasil,mais_positivo,2,POS,24,0.857,doc_d9b928d2f9d57ae9_pp_ch_0032,"Qual o motivo que vocês estão sendo depois da fusão? Por exemplo, o volume de venda de vocês melhorou, piorou ou ficou estável? O meu está estável. O meu melhorou porque era a época que eu vendo mais agora. Digamos que era para ter melhorado, mas eu estou perdendo muito dinheiro. Porque foi o que aconteceu. No primeiro mês eu fiz o pedido e demorou 1 mês para chegar. Eu só tenho 3 meses. A maioria"
mercato_brasil,mais_positivo,3,POS,17,1.0,doc_ee180b4e719d4d7e_pp_ch_0040,"Então, peraí lá. Sou amiga. Amiga, sabendo que a natura juntou com a vó, agora eu tô vendendo a natura e a vó. Eu vou falar, e o que significa aí? E daí? E daí não, sou uma amiga boa. Mas assim, me conta mais, o que isso implica? Aí você tomou uma miniatura, vai ter mais promoção, vai ter mais... Vai ter promoção, vai ter mais... Tá! Eu já falaria da qualidade, agora... Os perfumes do album você n"
mercato_brasil,mais_negativo,1,NEG,-16,0.889,doc_047d9aa2d7261b26_pp_ch_0029,"Vamos entender esse prazo de entrega. Isso era problema antes? Não. Eu só gostaria de dar uma conclusão. Ou seja, na hora que vocês pensaram em pegar prazo bom. É uma coisa que já tinha vindo. Só não melhorou. A expectativa era muito maior. Inclusive tem a moda casa do avô que você pede bastante e não ganha nada. Eu nem treco. Eu nem treco. Eu tô com risco. Piorou. Piorou. Piorou. Piorou. Piorou. "
mercato_brasil,mais_negativo,2,NEG,-7,1.0,doc_047d9aa2d7261b26_pp_ch_0019,"Eu não gostei de trabalhar com a Boticário. Não gostei. Não sei o atendido. Não gostei, não gostei. Uma empresa que... Vamos lá, vamos tentar entender o que... Sabe quando diz o santo no bate? Não, às vezes... Não é isso. Eu cheguei até lá, mas o que acontece? A facilidade da Natura e do Avon é diferente da Boticário. Mas em que sentido é a facilidade? A facilidade de... Se eu entregar a caixa, a "
mercato_brasil,mais_negativo,3,NEG,-7,0.778,doc_0dc2e6ecde931dc0_pp_ch_0030,"E outra coisa, o empregador fala que. Não existe a casa. Ela sempre me entregou lá. Pra elas ligarem natura, antes já era ruim, agora tá péssimo. Porque você fica na linha, você fica 50 minutos esperando as vezes. Ela sozinha tem uma tela e manda pra mim, ó. E aí quando você consegue, eles dão uma ligação várias vezes. Aumenta o limite delas, que elas podem pedir. Gente, era pra gente pedir isso. "
natura_3cs,mais_positivo,1,POS,18,0.818,doc_1055808810073bc2_pp_ch_0005,"Tem o dia dos namorados, tem o dia dos avós, dia dos pais, tudo vai presente aqui. Aqui não sei pra onde correr, né? Que as meninas também ficam, dia dos professores, todo dia dos professores, todo ano tem que comprar alguma coisa professor. Aí a mais velha já tem professor pra cada matéria. Nossa senhora, me deixa louca. Mas você gosta de presentear? Gosto, gosto. Eu acho legal que também ensina "
natura_3cs,mais_positivo,2,POS,18,1.0,doc_b99597afcc8d7201_pp_ch_0014,"Boa. E o presente de amanhã que a gente vai comprar, você já sabe onde é a loja? Já escolheu ou você vai lá e já sabe? Eu já tenho uma ideia, já sei que lá tem. Entendi. Onde que é? Na Riachuelo. Na Riachuelo. Tá bom. Você já tá na cabeça já, exatamente. É, só ir lá e buscar. É, eu vi uma professora que trabalha comigo, ela foi com conjunto parecido. Com o que eu queria. E ela me descobriu. Aí eu "
natura_3cs,mais_positivo,3,POS,17,1.0,doc_37e5a363a19d31b7_pp_ch_0003,"Que legal, você faz curso do quê? Então, eu comecei a fazer curso de costura, né, para as bolsas. Eu comecei agora mesmo com isso. Legal, legal. Se tivesse uma palavra, como você definiria a sua semana? Como você definiria a sua semana? Você falou que é agitada. Corrida. Corrida, muito frio. Tá frio, né, menina? Pois é. E muda alguma coisa no final de semana? O que você faz no final de semana? Ent"
natura_3cs,mais_negativo,1,NEG,-5,0.556,doc_44982372dd74c6da_pp_ch_0013,"Já aconteceu também, né, de você deixar pra última hora, mas eu costumo, pelo menos, me planejar uma semana, dez dias antes. Principalmente se eu for comparar pela internet, pra não ter aquele risco de vir... Porque tem aquele atraso do SEDEX. Houve problema que aconteceu. O presente da minha namorada que eu dei foi no ano passado, em dezembro, para ela. Eu comprei três presentes pelo Mercado Livr"
natura_3cs,mais_negativo,2,NEG,-4,1.0,doc_52108ac94ef635f9_pp_ch_0014,"Então, assim, eu tenho bastante dificuldade de estar pedindo, igual eu pedi acho que 30, caixas, aí você acaba vendo 15 disponíveis, 16, e aí depois a pessoa sempre tem uns atrasados querem estar presenteando, aí você vai fazer pedido e já não tem de novo, então isso é ponto negativo, anunciou tem que ter, e por ser sabonete, não só esse também, como os outros kits também acabam ficando Indisponív"
natura_3cs,mais_negativo,3,NEG,-4,0.667,doc_12c6ce2d2fba4df1_pp_ch_0018,"Não desmonta o kit. Não desmonta. Veio aquele kit, veio aquele kit. Agora, se você quer comprar uma outra coisa para acrescentar aquele kit, legal, eu acrescento. Você pediu. Mas eu colocar perfume da Natura e hidratante da Boticário, não faço isso. Não faço isso porque eu acho que cada tem o seu espaço. Você quer o da Boticário? Eu vou te dar o da Boticário. Você quer o da Natura? Eu vou te dar. "
