doc_id,chunk_id,chunk_index,idioma,texto_analise
doc_d9b928d2f9d57ae9,doc_d9b928d2f9d57ae9_ch_0065,65,pt,"reated at: 16th Mar, 2026 - 4:35 PM
68 / 145
 
 
 
 
 
Speaker 3 - 56:14
 
 E quem está fazendo recorrentemente pedidos de avô? Eu estou pedindo, mas não está chegando. 
 
 
 
 
 
Speaker 4 - 56:25
 
 Exatamente. 
 
 
 
 
 
Speaker 3 - 56:27
 
 Mas o que a gente está pedindo? Vai, já vou. O que tá saindo? 
 
 
 
 
 
Speaker 4 - 56:30
 
 Maquiagem em casa estilo. 
 
 
 
 
 
Speaker 3 - 56:32
 
 É, maquiagem em casa estilo. 
 
 
 
 
Speaker 1 - 56:33
 
 A linha toda do Power Stay, aqueles crepes depilação que teve uma mulher que me pediu 10 e eu falei, meu Deus, 
será que isso funciona mesmo? 
 
 
Speaker 4 - 56:43
 
Meeting Title: 
DG1_Mercato_231123_14h00_COMPLEMENTO.mp3
Meeting created at: 16th Mar, 2026 - 4:35 PM
69 / 145
 
 
 Funciona. 
 
 
 
 
Speaker 1 - 56:43
 
 Aí eu fui testar. 
 
 
 
 
 
Speaker 2 - 56:45
 
 Funciona. 
 
 
 
 
Speaker 1 - 56:45
 
 Funciona divertido. 
 
 
 
 
 
Speaker 4 - 56:46
 
 Fiquei toda empolgada. 
 
 
 
 
 
Speaker 3 - 56:48
 
 Ela tá com batom, ela falou. 
 
 
 
 
Speaker 1 - 56:50
 
 Não, eu tenho também. 
 
 
 
 
Speaker 5 - 56:52
 
Meeting Title: 
DG1_Mercato_231123_14h00_COMPLEMENTO.mp3
Meeting created at: 16th Mar, 2026 - 4:35 PM
70 / 145"
doc_5c06d290f301eadb,doc_5c06d290f301eadb_ch_0013,13,pt,"o da natura e o produto de qualidade 
é muito similar. E tem gente que prefere a Natura mesmo, né? Por exemplo, a linha Eco, você perder sabonete em 
barra da linha Eco se acabou, tem cliente que só quer aquele ou da linha todo dia. Então, assim, a oferta de 
produtos da Natura em relação a a esses itens de higiene pessoal melhor, mais diversificada do que a do Boticário 
com preço mais afetível, porque todo tipo tem outro em promoção. 
 
 
 
 
Speaker 1 - 15:27
 
 E como que você... Você falou pouquinho que seus clientes são pessoas ou da região ou como foram indicados, 
mas assim, me fala pouquinho como você define o perfil, assim, dos seus clientes hoje? 
 
 
 
 
 
Speaker 2 - 15:40
 
 Olha, eu tenho perfil totalmente feminino, não tenho cliente masculino, só meu marido. Mas é totalmente 
feminino, e normalmente mulheres de [IDADE] anos para cima. 
 
 
 
 
Speaker 1 - 16:02
 
 E aí você já comentou pouco do que eles costumam te procurar, o que dão de preferência em cada marca, o seu 
relacionamento com eles é digital, pelo que entendi, você faz isso via WhatsApp, via redes sociais, qual que é o 
seu principal foco, canal de comunicação com eles? 
 
 
 
 
 
Speaker 2 - 16:20"
doc_9ed820073ce06c76,doc_9ed820073ce06c76_ch_0092,92,pt,"se daí, mas... É outra coisa também assim que é o menos importante pra mim, 
sinceramente. 
 
 
 
 
 
Speaker 2 - 01:40:50
 
 Bom, deixa eu falar uma coisa agora, 
 
 
 
 
 
Speaker 4 - 01:40:53
 
 Depois eu quero ver a reação dos comentários dela. 
 
 
 
 
 
Speaker 2 - 01:40:55
 
Meeting Title: Q2_Biome_1104_14h30.m4a Meeting created at: 18th Mar, 2026 - 9:56 PM
67 / 98
 Eu queria que vocês me falassem dessa embalagem externa aqui, ó. 
 
 
 
 
Speaker 3 - 01:40:59
 
 Bonita. 
 
 
 
 
 
Speaker 2 - 01:41:01
 
 Vamos falar o que ela tá passando, o que ela tá transmitindo. 
 
 
 
 
 
Speaker 7 - 01:41:06
 
 Pra mim ela tá parecendo ser de plástico e eu não compraria. 
 
 
 
 
 
Speaker 2 - 01:41:11
 
 Ela não é reciclável. 
 
 
 
 
Speaker 5 - 01:41:12
 
 Não, ela não é reciclável. 
 
 
 
 
 
Speaker 7 - 01:41:14
 
 Olhando assim, parece de concha. 
 
 
 
 
Speaker 2 - 01:41:16
 
Meeting Title: Q2_Biome_1104_14h30.m4a Meeting created at: 18th Mar, 2026 - 9:56 PM
68 / 98
 
 Aqui não está mostrando, mas tem texto que explica que ela não é reciclável. 
 
 
 
 
Speaker 5 - 01:41:21
 
 Sim, sim. 
 
 
 
 
 
Speaker 2 - 01:41:22
 
 É o pessoal. 
 
 
 
 
Speaker 5 - 01:41:24
 
 Eu"
doc_b6fd5d628bb2710e,doc_b6fd5d628bb2710e_ch_0124,124,pt,"o T1. 
 
 
 
 
 
Speaker 2 - 01:31:54
 
 Tudo código, né? 
 
 
 
 
Speaker 1 - 01:31:56
 
 Tudo código. Eu quero ter muita coisa, né? Senão você fica doido. Vou escrever sobre isso e falar sobre isso. Esse 
é o T1. 
 
 
 
 
 
Speaker 2 - 01:32:07
 
 Não gostei, não? Não gostei. Mas a única coisa que tá diferente basicamente é o refil. 
 
 
 
 
Speaker 4 - 01:32:13
 
Meeting Title: DG6_Anima_0712_10h00 .mp3 Meeting created at: 18th Mar, 2026 - 4:40 PM
161 / 205
 
 Eu acho que os outros parecem uma garrafinha de cerveja. 
 
 
 
 
Speaker 1 - 01:32:16
 
 Só o refil é diferente. Parece garrafinha de cerveja. 
 
 
 
 
 
Speaker 2 - 01:32:21
 
 E essa máscara tá muito... O da máscara tá muito feio. 
 
 
 
 
Speaker 1 - 01:32:25
 
 É? Máscara muito feia. 
 
 
 
 
 
Speaker 2 - 01:32:28
 
 Tipo, me dá .. 
 
 
 
 
Speaker 1 - 01:32:30
 
 O que é isso? 
 
 
 
 
 
Speaker 2 - 01:32:31
 
 Tá. 
 
 
 
 
Speaker 1 - 01:32:32
 
 Bom, já ouvi que vocês não gostaram, mas não tinha que perguntar. 
 
Meeting Title: DG6_Anima_0712_10h00 .mp3 Meeting created at: 18th Mar, 2026 - 4:40 PM
162 / 205
 
 
 
 
 
Speaker 4 - 01:32:35
 
 Só seria legal gostar de parecer uma garrafinha de cerveja se fosse"
doc_20c080a645217030,doc_20c080a645217030_ch_0015,15,pt,"108
 
 
 
 
Speaker 6 - 20:33
 
 Contaria que é uma propaganda de hidratante corporal, onde aparece, no fundo da propaganda, aparece floresta e 
fala sobre o hidratante, onde ela vai passando pelo corpo, mostrando a leveza, a maciez que aquele hidratante 
está proporcionando, e fala também dos benefícios da composição. Fala sobre o ácido hialurônico, que traz mais 
hidratação ao corpo, É, basicamente isso. 
 
 
 
 
 
Speaker 3 - 21:05
 
 Ana, como você contaria essa propaganda? 
 
 
 
 
Speaker 1 - 21:10
 
 Então, eu diria que é uma propaganda da natura, onde tá falando de hidratante corporal para o humano, onde no 
vídeo ele me transparece uma leveza, onde ele mostra autocuidado com no movimento do vidro e que o Tucumã 
ele ajuda a produzir o ácido hialurônico do corpo dando uma hidratação mais intensa. 
 
 
 
 
 
Speaker 3 - 21:38
 
 E que cês acharam dessa propaganda? Uma atenção de vocês. O que ficou aí para vocês depois de terem 
assistido? Luana, me conta pouquinho. 
 
 
 
 
 
Speaker 2 - 21:55
 
 Eu gostei. Eu gostei da vontade, apesar de ser de produto que é tão distante, que a gente nem conhece, que é o 
Tucumã, vem derivado disso, dá uma curiosidade. Eu acho que dá uma"
doc_047d9aa2d7261b26,doc_047d9aa2d7261b26_ch_0089,89,pt,"em lembro como foi. Agora tudo apagou também. 
 
 
 
 
Speaker 1 - 01:20:37
 
 Alguém lembra? Como é que vocês foram avisadas? 
 
 
 
 
 
Speaker 2 - 01:20:40
 
 Eu acho que foi a minha amiga. 
 
 
 
 
 
Speaker 5 - 01:20:43
 
 Que me falou que eu tava mudando. 
 
 
 
 
Speaker 1 - 01:20:46
 
 Ela me enviou uma mensagem. 
 
 
 
 
Speaker 2 - 01:20:49
 
Meeting Title: DG3_Mercato_211123_14h00.mp3 Meeting created at: 16th Mar, 2026 - 4:38 PM
106 / 156
 
 Não, ela me enviou uma mensagem de vídeo. Ela falou pra mim, olha, sinto informá-la, mas não vou poder. 
 
 
 
 
Speaker 1 - 01:20:56
 
 Ela começou assim, sinto informá-la. 
 
 
 
 
 
Speaker 2 - 01:20:58
 
 Mas você vai estar mudando de setor. A partir de agora eu não vou poder ser mais a sua amiga. Mas aí eu pensei 
que eu ia ficar com a gerente, né? Pensei que o povo já tinha mudado. 
 
 
 
 
Speaker 1 - 01:21:12
 
 Entendeu, tô, vou em mídia. Ela começou, sinto te informar que não vou mais te atender. 
 
 
 
 
 
Speaker 6 - 01:21:16
 
 É, eu acho que foi assim. 
 
 
 
 
Speaker 1 - 01:21:18
 
 Eu não lembro. 
 
 
 
 
 
Speaker 2 - 01:21:19
 
 Eu sei que a história foi tão traumática pra mim que eu não... Se você falar pra mim"
doc_02c37e00145d9a32,doc_02c37e00145d9a32_ch_0028,28,pt,"09
 
 Não, não, exatamente. A gente quer puro, como é no dia a dia, como é na vida normal. Me fala então, quais as 
vantagens do link de pagamento? 
 
 
Speaker 3 - 29:20
Meeting Title: EP12_Compras 
Digitais_0111_11h30.m4a
Meeting created at: 11th Mar, 2026 - 4:42 PM
23 / 56
 
 
 
 Então, pra mim o link é muito prático, né? Eu quero, preciso de uma coisa, eu vou lá e pago e já tá tudo certo, não 
preciso me preocupar. Eu acho que essa é a maior vantagem que eu tenho. A velocidade, eu não ficar perdendo 
tempo olhando outras coisas que eu não preciso. Essas são duas vantagens que sempre existem. 
 
 
 
 
 
Speaker 2 - 29:45
 
 E qual é a desvantagem? 
 
 
 
 
 
Speaker 3 - 29:48
 
 A desvantagem, eu acho que é essa parte, de vez em quando a gente quer consumir uma coisinha a mais e o link 
nem te dá essa liberdade. Eu vejo isso como, por exemplo, se eu vou pedir pelo link, se eu peço para ela algo 
específico, vem o link, paguei, para que eu vou olhar a revista? Então, assim, para mim, como eu te falei, isso sai 
como uma vantagem e como uma desvantagem, porque às vezes a gente pensa assim, esqueci de alguma coisa, 
ou então perdi aquela promoção ali que eu nem olhei."
doc_bd7e79d2d8b662f0,doc_bd7e79d2d8b662f0_ch_0087,87,pt,"1:15:27
 
 Pergaminho? 
 
 
 
 
 
Speaker 4 - 01:15:29
 
 Pergaminho! 
 
 
 
 
Speaker 2 - 01:15:31
 
Meeting Title: DG4_Anima_0612_14h00.mp3 Meeting created at: 18th Mar, 2026 - 4:39 PM
112 / 172
 
 Mas legal, é uma coisa que conversa muito com a dupla natural e toda essa coisa que a gente já tá falando. 
 
 
 
 
 
Speaker 4 - 01:15:38
 
 Isso, no povo ruim. 
 
 
 
 
 
Speaker 2 - 01:15:41
 
 Olha aí, mudou seu conceito. 
 
 
 
 
 
Speaker 3 - 01:15:43
 
 Mas é melhor do que imprimir atrás. 
 
 
 
 
Speaker 1 - 01:15:48
 
 Ninguém olha os rótulos. 
 
 
 
 
 
Speaker 3 - 01:15:50
 
 É, ninguém não olha. 
 
 
 
 
 
Speaker 5 - 01:15:51
 
 Eu não olho. 
 
 
Meeting Title: DG4_Anima_0612_14h00.mp3 Meeting created at: 18th Mar, 2026 - 4:39 PM
113 / 172
 
 
Speaker 3 - 01:15:53
 
 Eu não olho. 
 
 
 
 
 
Speaker 4 - 01:15:53
 
 Você olha os parabéns lá na questão. 
 
 
 
 
Speaker 1 - 01:15:55
 
 Eu olho os parabéns? 
 
 
 
 
 
Speaker 3 - 01:15:56
 
 Parabéns é a única coisa que eu leio. 
 
 
 
 
Speaker 1 - 01:16:00
 
 Não tem sal. 
 
 
 
 
 
Speaker 3 - 01:16:02
 
 Só isso agora. 
 
 
 
 
 
Speaker 2 - 01:16:03
 
 É diferente, mas é interessante. 
 
Meeting Title:"
doc_57600d8711fbb9d4,doc_57600d8711fbb9d4_ch_0004,4,pt,"Não, tudo bem. 
 
 
 
 
Speaker 1 - 04:34
 
 Só minutinho. 
 
 
 
 
 
Speaker 2 - 05:08
 
 A gente pode começar então, Isabela? Eu vou só fazer uma introdução e aí eu... Eu compartilho a tela e aí a gente 
vai vendo de cada etapa que vocês fizeram. Como eu falei, então, a ideia é que realmente... A gente até tá 
chamando essas entrevistas de download, né? Porque a ideia é fazer uma espécie de download do que vocês 
vivenciaram, né? Porque aí eu vou trabalhar com esses dados que vocês enviaram pra gente, Mas é importante 
também ter essa conversa para assimilar melhor algumas coisas, né? Às vezes conversando traz mais vida 
também para aquilo que vocês colocaram no questionário. 
 
 
 
 
Speaker 1 - 05:51
 
 E muita coisa do que a gente tirou dali não tinha no questionário, sabe? A gente escreveu bastante coisa em 
outras informações. Você queria acrescentar? Foi onde a gente mais escreveu. Porque não necessariamente é 
uma coisa nova da perfumaria, uma coisa que eu não sabia, mas é uma coisa que a gente acha interessante, 
independente de ter sido legal ou não, sabe? 
 
 
 
 
 
Speaker 2 - 06:10
 
 Legal. É, mas assim, para não ficar muita coisa para vocês responderem depois, a"
doc_813751e4679e395b,doc_813751e4679e395b_ch_0010,10,pt,"e saber limitar pouquinho mais a... O business hours nas horários comerciais, acho que isso 
a gente perdeu muito e mesmo vendo, eu estava percebendo esses dias, apesar de estar trabalhando de casa, eu 
saí e como moro aqui em Pires, tem muita empresa, eu vi que as pessoas voltaram bastante para o escritório, 
mas eu acho que ainda esse limite, esse mindset de a gente ter pouco segmentação entre as nossas várias 
facetas da vida meio que ficou nublado e muita gente ainda tem dificuldade de entender que é necessário a gente 
ter esses momentos de, não, não estou trabalhando. 
 
 
 
 
Speaker 3 - 10:48
 
 Então a gente acha que ainda a gente tem que voltar a encontrar qual uma outra dinâmica, qual uma outra 
equação correta nesse momento. Eu acho que é exercício, acho que vai ser da humanidade, não é só nosso, não. 
 
 
 
 
Speaker 4 - 11:03
 
Meeting Title: Q4_Biome_1204_14h30.m4a Meeting created at: 18th Mar, 2026 - 9:55 PM
7 / 72
 
 No meu caso eu trabalho muito, eu cuido de uma equipe grande, então eu viajo muito, a minha empresa é uma 
empresa de... Nós fazemos máquina de geradores de ozônio, então a gente atende aeroportos, atende hospitais, 
atende... Agora a Força Aérea do"
